Scenario,Strategy,Premium,PnL_Mean,PnL_Std,Skewness,Kurtosis,VaR_99,ES_99,P_loss_2x
GBM true,constant,4.614997129602855,0.6565457326574073,0.5225959491656492,-0.257386385417252,0.14869297046135976,0.6204238193378203,0.9032850187914447,0.0
Heston true,constant,4.614997129602855,2.2384121767233403,1.7172123838404243,-1.8163475920103747,6.105666372809143,3.618344077466504,5.5329197162508335,0.00063
Heston true,local vol,4.614997129602855,2.3495964579648643,1.7439070728855048,-1.3053269584552987,1.7352790313975746,3.0811343673964964,4.152512098484297,0.0
Rough Heston true,constant,4.614997129602855,1.085126676605151,2.3413420733374237,-2.143621890142456,9.025775738728985,7.423701369733979,10.423184903317306,0.00548
Rough Heston true,local vol,4.614997129602855,1.1417651352629572,2.294017743806703,-1.3101255360341677,2.0852770761992048,6.213519986101345,7.629515585712488,0.00105
