Asset,Model,S0,mu,sigma,v0,kappa,theta,sigma_v,rho,H
SPY,gbm,1.0,0.10216564978610802,0.16271985544049783,,,,,,
SPY,heston,1.0,0.10216564978610802,,0.018349914777552212,0.5,0.036699829555104424,0.21784255128964403,-0.10770830099869914,
SPY,rough_heston,1.0,0.10216564978610802,,0.018349914777552212,0.5,0.036699829555104424,0.21784255128964403,-0.10770830099869914,0.45
IBM,gbm,1.0,0.08508726096004408,0.27379630986025016,,,,,,
IBM,heston,1.0,0.08508726096004408,,0.12339577876685215,0.5,0.05409745499926871,0.16140675080019684,-0.08665687031715288,
IBM,rough_heston,1.0,0.08508726096004408,,0.12339577876685215,0.5,0.05409745499926871,0.16140675080019684,-0.08665687031715288,0.45
JPM,gbm,1.0,0.12466196611812982,0.2455774167432068,,,,,,
JPM,heston,1.0,0.12466196611812982,,0.06710197370155294,0.5,0.1293492357098662,0.43364452495288636,-0.013112453703835772,
JPM,rough_heston,1.0,0.12466196611812982,,0.06710197370155294,0.5,0.1293492357098662,0.43364452495288636,-0.013112453703835772,0.45
