date,actual,predicted,lower_80,upper_80,lower_95,upper_95
2022-01-03,-0.0266009202075386,0.00039917950348361964,-0.01100430365127112,0.011802662658238358,-0.017040942987514695,0.017839301994481933
2022-01-04,-0.0041668530922532,0.000852810263157004,-0.010577118098979217,0.012282738625293225,-0.016627756682379796,0.018333377208693807
2022-01-05,-0.0054425694656016,0.0015927083010489128,-0.009810774853705826,0.012996191455803652,-0.0158474141899494,0.019032830792047227
2022-01-06,0.0025856363746222,0.0005831642824023103,-0.010834407970584601,0.012000736535389222,-0.01687850562490927,0.01804483418971389
2022-01-07,-0.0072143575477478,0.000780865185174953,-0.010622617969579785,0.012184348339929693,-0.01665925730582336,0.018220987676173268
2022-01-10,0.0024571979463743,0.0006052112946527224,-0.010798554995937636,0.01200897758524308,-0.016835344215238832,0.01804576680454428
2022-01-11,0.0066395516582404,0.0005461309270648892,-0.01085735222768985,0.011949614081819628,-0.016893991563933425,0.017986253418063203
2022-01-12,-0.0038386900061973,0.000325745406100353,-0.01107790278475597,0.011729393596956678,-0.017114629485834414,0.01776612029803512
2022-01-13,0.008841229188837,-1.5254872693268697e-05,-0.011418738027448009,0.01138822828206147,-0.01745537736369158,0.017424867618305046
2022-01-14,-0.0152243727612789,-7.924187397459969e-05,-0.011482767539999833,0.011324283792050633,-0.017519429380350632,0.017360945632401436
2022-01-18,-0.0141750061409812,0.0004203702982516068,-0.010983112856503132,0.011823853453006346,-0.017019752192746707,0.01786049278924992
2022-01-19,0.0068999502920121,0.0009234386364530953,-0.010480046855519658,0.01232692412842585,-0.016516687429011714,0.0183635647019179
2022-01-20,0.0061478941227662,0.0014918019997904794,-0.00991168115496426,0.012895285154545218,-0.015948320491207833,0.018931924490788794
2022-01-21,0.011836846639423,0.0005246162326595887,-0.010878867810166065,0.011928100275485241,-0.016915507616525983,0.01796474008184516
2022-01-24,-0.008249848504301,-0.0005569025433724478,-0.011960385698127187,0.010846580611382292,-0.017997025034370763,0.016883219947625865
2022-01-25,-0.0016157803318892,-0.0003095499910411094,-0.011713033304768916,0.011093933322686697,-0.01774967272516775,0.01713057274308553
2022-01-26,-0.0121677141944217,0.00010912371023278879,-0.01129435944452195,0.011512606864987528,-0.017330998780765525,0.017549246201231102
2022-01-27,0.0181962814726839,0.000990434781260291,-0.01041304838939768,0.012393917951918262,-0.016449687734059918,0.0184305572965805
2022-01-28,0.0003492698021019,0.00043392986624113546,-0.010969553288513604,0.011837413020995875,-0.01700619262475718,0.017874052357239448
2022-01-31,-0.0051831590042827,7.998747551444033e-06,-0.011395484411619933,0.011411481906722823,-0.017432123750201537,0.017448121245304423
2022-02-01,-0.0033250807682222,-0.0004432171761246206,-0.011856346768138716,0.010969912415889474,-0.017898092619806058,0.017011658267556816
2022-02-02,0.0033809521080384,0.00031465164623197477,-0.011125452292199777,0.011754755584663728,-0.017181477500309753,0.0178107807927737
2022-02-03,-0.0078362341947304,0.0005412865943687943,-0.010871842997645301,0.011954416186382889,-0.01691358884931264,0.017996162038050233
2022-02-04,-0.0148522031448969,0.0002795411813604655,-0.011147948923277978,0.01170703128599891,-0.01719729677112669,0.017756379133847623
2022-02-07,0.0006470243952326,0.0009091476747350242,-0.010503981917279071,0.012322277266749119,-0.016545727768946413,0.01836402311841646
2022-02-08,-0.0067080687028357,0.0013481527709101868,-0.010065271896777642,0.012761577438598015,-0.01610717395207111,0.018803479493891485
2022-02-09,0.0018800391155703,0.0011885588424327775,-0.010224570749581318,0.012601688434446872,-0.016266316601248658,0.018643434286114216
2022-02-10,-0.0160203139060477,0.0005739588065848692,-0.010839342416025508,0.011987260029195246,-0.01688117912344234,0.018029096736612075
2022-02-11,0.014719321599469,0.0010279074087407017,-0.010385222183273392,0.012441037000754798,-0.016426968034940734,0.01848278285242214
2022-02-14,-0.0125196648453617,0.000584583654249179,-0.010828590191714766,0.011997757500213124,-0.016870359470008065,0.018039526778506423
2022-02-15,-0.0114176825395138,0.0007185173688398367,-0.010694612223174258,0.012131646960853932,-0.0167363580748416,0.018173392812521273
2022-02-16,0.005909441792002,0.0005289931250510191,-0.010884138949543432,0.011942125199645468,-0.016925886115409426,0.017983872365511466
2022-02-17,0.0074105833656481,0.0012952651058445455,-0.01011786448616955,0.01270839469785864,-0.016159610337836892,0.018750140549525982
2022-02-18,0.0104724001615771,0.00038483112689818887,-0.011028299407084783,0.01179796166088116,-0.01707004575740033,0.017839708011196706
2022-02-22,0.0026009894356917,-0.0005850450011290519,-0.011998174593143146,0.010828084590885044,-0.018039920444810488,0.016869830442552386
2022-02-23,-0.0138777156153029,-0.0006264297833145493,-0.012039559544661523,0.010786699978032423,-0.018081305485968275,0.016828445919339175
2022-02-24,0.0006586323243913,-4.495112216939664e-05,-0.01145808071418349,0.0113681784698447,-0.017499826565850835,0.01740992432151204
2022-02-25,0.0007303869980462,0.0006964252510661064,-0.010716704358162736,0.012109554860294948,-0.016758450218943014,0.018151300721075226
2022-02-28,0.0216819568391517,0.0008276869453730022,-0.010585442646641094,0.012240816537387096,-0.016627188498308434,0.01828256238905444
2022-03-01,0.0114955076722887,-0.0003594648867663125,-0.011772594483562169,0.011053664710029545,-0.017814340337760824,0.017095410564228197
2022-03-02,-0.0347805196019471,-0.0010770008097703656,-0.012498606802091942,0.010344605182551212,-0.018544839789034668,0.016390838169493934
2022-03-03,0.010133471881731,0.0010268803262063644,-0.010421922206503509,0.012475682858916239,-0.016482552172271885,0.018536312824684615
2022-03-04,0.0171169208798569,0.0009821675266679735,-0.010439438465653603,0.012403773518989551,-0.01648567145259633,0.018450006505932273
2022-03-07,-0.0076587904165312,-0.0006335240912726701,-0.012069889923937703,0.010802841741392363,-0.018123936298387103,0.016856888115841764
2022-03-08,-0.0101107535576659,-0.0008210035769210547,-0.012242609569242632,0.010600602415400522,-0.018288842556185354,0.016646835402343248
2022-03-09,-0.0098472084379049,2.8744444068390385e-05,-0.011393159203048725,0.011450648091185506,-0.017439549758922184,0.017497038647058965
2022-03-10,-0.0144717123450354,0.0013492548309547406,-0.010072351161366837,0.012770860823276317,-0.01611858414830956,0.01881709381021904
2022-03-11,0.0033411786491304,0.0016596711330359574,-0.009762110369125386,0.0130814526351973,-0.01580843626536505,0.01912777853143697
2022-03-14,-0.0236259999250069,0.00141610765729994,-0.010005498335021637,0.012837713649621517,-0.01605173132196436,0.01888394663656424
2022-03-15,-0.0017472791081286,0.0015514799989204183,-0.009870172373299107,0.012973132371139943,-0.015916429912276722,0.019019389910117562
2022-03-16,0.0097603044692513,0.001423776168452513,-0.009997829823869063,0.012845382160774091,-0.016044062810811787,0.018891615147716815
2022-03-17,-0.0074817308362193,0.001368493932111534,-0.010053114602331312,0.01279010246655438,-0.016099348934991743,0.018836336799214815
2022-03-18,0.0121387390436078,0.0002276901448572611,-0.011193915847464316,0.011649296137178838,-0.01724014883440704,0.017695529124121562
2022-03-21,-0.0234288914036113,-7.16166887243506e-05,-0.011493223664011622,0.011349990286562922,-0.017539457171304954,0.01739622379385625
2022-03-22,-0.0128941492980437,0.0007082107885389654,-0.010713395203782611,0.012129816780860543,-0.016759628190725337,0.018176049767803265
2022-03-23,0.0216779002850193,0.0011230481322742074,-0.010298558039992467,0.012544654304540881,-0.016344791122192368,0.018590887386740782
2022-03-24,-0.0078637707239284,0.0014610843202580246,-0.009960521672063552,0.012882690312579602,-0.016006754659006278,0.018928923299522324
2022-03-25,-0.0139698302577511,0.00015452505133317553,-0.01126708095896041,0.01157613106162676,-0.017313313955416937,0.01762236405808329
2022-03-28,0.0085135253509234,5.5772978789830104e-05,-0.011365833013531747,0.011477378971111406,-0.01741206600047447,0.01752361195805413
2022-03-29,0.0075237449805799,0.0011276786693925909,-0.010293927328018843,0.012549284666804026,-0.016340160317655974,0.018595517656441154
2022-03-30,0.0077714374983007,0.00019148711578828267,-0.011277537011627242,0.011660511243203806,-0.0173488716430127,0.017731845874589265
2022-03-31,0.0024261590047389,2.0512805313952957e-05,-0.011475821799824822,0.011516847410452728,-0.017561613724817723,0.017602639335445626
2022-04-01,0.0037990945724914,-0.0005508421178309079,-0.012019866245246431,0.010918182009584616,-0.01809120087663189,0.016989516640970075
2022-04-04,-0.0069739913819824,2.6714762344932355e-06,-0.011478542670637552,0.01148388562310654,-0.01755633030852657,0.017561673260995555
2022-04-05,-0.0228514600605038,4.211242027602705e-05,-0.011426911707139498,0.01151113654769155,-0.017498246338524957,0.01758247117907701
2022-04-06,-0.0081270793829076,0.0010917182109084237,-0.010377614642106396,0.012561051063923245,-0.016449112702952098,0.018632549124768947
2022-04-07,-0.0075607631825829,0.0019540130290593453,-0.009515011098356178,0.01342303715647487,-0.015586345729741637,0.01949437178786033
2022-04-08,-0.0108899901809564,0.0019663758559343167,-0.009502809881110397,0.013435561592979029,-0.015574230063465807,0.01950698177533444
2022-04-11,-0.0159514183515075,0.0014750979676058317,-0.009993926159809692,0.012944122095021356,-0.016065260791195152,0.019015456726406813
2022-04-12,-0.0013815859583713,0.001779166183093478,-0.009689892124077455,0.013248224490264412,-0.015761244849132477,0.01931957721531943
2022-04-13,0.0020310799621526,0.0017636864577807885,-0.009705337669634734,0.013232710585196313,-0.015776672301020193,0.019304045216581772
2022-04-14,-0.0202490996250463,0.0011020257776286223,-0.010367000761574829,0.012571052316832074,-0.016438336669683702,0.018642388224940944
2022-04-18,-0.0049814384045826,0.0009570071968722627,-0.010512016930543261,0.012426031324287786,-0.01658335156192872,0.018497365955673247
2022-04-19,-0.0075187009517074,0.0014798474369780968,-0.009989177480759696,0.01294887235471589,-0.016060512530516498,0.01902020740447269
2022-04-20,0.0199260761361463,0.0017007938883492376,-0.009768230239066287,0.01316981801576476,-0.015839564870451746,0.01924115264715022
2022-04-21,-0.0074259367798563,0.00040209897245305454,-0.011066925280279262,0.01187112322518537,-0.017138259978003424,0.017942457922909535
2022-04-22,-0.0063140725677349,-0.00012362320550937276,-0.011592647332924897,0.01134540092190615,-0.017663981964310356,0.01741673555329161
2022-04-25,0.0099512993874141,1.691691610952446e-05,-0.011452107226337337,0.011485941058556385,-0.017523441865679907,0.017557275697898955
2022-04-26,0.0100165282178844,0.0005806723985805561,-0.010888351728834967,0.01204969652599608,-0.016959686360220428,0.018121031157381538
2022-04-27,-0.0129089301679128,-0.00031624725343989415,-0.0117852713844698,0.01115277687759001,-0.017856606017768596,0.01722411151088881
