index,importance
VIX_level,0.04956527976126909
VIX_change,0.03286606881831921
AAPL_vol5d,0.02692410468737319
JPM_mean60d,0.026917734107898474
SPY_mean5d,0.02287012220893557
SPY_lag3,0.02038098880464225
SPY_mean20d,0.019413742086885385
SPY_mean60d,0.019325024980523284
SPY_lag5,0.018433986111048822
SPY_vol5d,0.018317469242341747
TLT_vol5d,0.016997439819174256
TLT_lag2,0.016570025984849603
IBM_vol60d,0.01615477907002953
AAPL_mean60d,0.016093159507301953
IBM_vol5d,0.014459548588292721
AAPL_vol20d,0.01395546697642961
IBM_lag10,0.013885720028945527
GLD_vol20d,0.012968446833524648
AAPL_lag2,0.012898195944432872
JPM_lag10,0.012175132833479516
SPY_lag1,0.012062303060674615
JPM_lag1,0.011786651240172107
AAPL_lag5,0.011354814598169664
AAPL_mean5d,0.01109546358663416
IBM_lag1,0.010994078041818147
SPY_lag10,0.010625159276310277
TLT_lag5,0.010622535159324067
JPM_mean5d,0.010545804148856567
IBM_mean5d,0.010542178537580696
IBM_lag5,0.010440031786697855
GLD_lag20,0.010295069415901368
SPY_min20d,0.010122305537465013
IBM_mean20d,0.009899768515167053
JPM_mean20d,0.009896664821538682
GLD_mean60d,0.009668320518529021
JPM_lag5,0.009578324516303213
TLT_lag10,0.009116641746822314
SPY_lag2,0.009026394029425282
IBM_vol20d,0.008994585862206743
IBM_mean60d,0.008980165536271633
IBM_lag2,0.008940310655494619
SPY_vol20d,0.008838924939145664
JPM_lag2,0.008821379783741366
IBM_kurt60d,0.008297594931746406
IBM_lag3,0.008223731702257774
TLT_mean60d,0.008175300637705796
GLD_lag2,0.008043739203037553
GLD_lag1,0.007896388764023222
AAPL_mean20d,0.007864201311827699
JPM_vol5d,0.007732917456628602
AAPL_kurt60d,0.007700842242634561
TLT_skew20d,0.007637722949572284
GLD_mean5d,0.0073469215592636946
JPM_vol20d,0.007315266665692186
TLT_range20d,0.0071268084886349425
TLT_mean5d,0.007039500942008753
GLD_lag10,0.007006421518008921
JPM_lag3,0.00680780278713803
GLD_max20d,0.006803785133891091
GLD_lag3,0.00675466082624374
IBM_max20d,0.0067415415137868735
GLD_kurt20d,0.00638928311489962
AAPL_lag1,0.0062369054931502126
SPY_lag20,0.0062081259685215955
TLT_mean20d,0.006166189455269692
JPM_skew60d,0.006134398112031024
GLD_mean20d,0.0060909597633022035
TLT_lag20,0.006070895479515501
TLT_kurt20d,0.005959191904145741
JPM_lag20,0.005708782605531571
AAPL_lag20,0.005639317184736248
GLD_vol60d,0.005582360476444529
GLD_lag5,0.005557125197056572
AAPL_lag10,0.005355393899971256
AAPL_lag3,0.0052320619375138345
GLD_kurt60d,0.005231860875502791
TLT_skew60d,0.005067620986744293
TLT_lag1,0.004976286077980652
AAPL_kurt20d,0.004771911645914192
AAPL_range20d,0.004715068326953753
GLD_range20d,0.0046526996556989116
IBM_lag20,0.004635605570229738
AAPL_vol60d,0.004547496437987954
SPY_kurt20d,0.004547369878470426
AAPL_skew20d,0.004434483681250111
TLT_vol20d,0.004288932171037095
SPY_max20d,0.004254873823370907
JPM_min20d,0.004171290686932248
GLD_skew20d,0.004155501463052808
IBM_skew20d,0.004098289979146159
IBM_kurt20d,0.004065212143056732
SPY_skew60d,0.003977343459332126
JPM_skew20d,0.003976358643348034
JPM_kurt20d,0.003914682051100541
GLD_vol5d,0.003795256120803883
TLT_vol60d,0.0037545193548534027
TLT_kurt60d,0.0037013366675802645
AAPL_skew60d,0.0035856261694937955
IBM_range20d,0.0035811727643481105
SPY_skew20d,0.0035477159834206707
JPM_kurt60d,0.003418434506840225
TLT_lag3,0.0033358766220011916
SPY_kurt60d,0.0033346177335290086
TLT_min20d,0.002910106157578867
JPM_vol60d,0.0028140356775746777
SPY_range20d,0.0027287526271649576
IBM_skew60d,0.002703275859111234
GLD_skew60d,0.0026972058354791206
AAPL_min20d,0.002615207935761912
TLT_max20d,0.002458621419078411
GLD_min20d,0.00236592284766201
JPM_max20d,0.002223371450671702
IBM_min20d,0.0020366505148716966
AAPL_max20d,0.0019635329638594957
SPY_vol60d,0.001956793440889906
JPM_range20d,0.0014842933699818208
month_10,0.0013324359361114439
dow_3,0.00032845428109047506
month_1,0.00012273913260498116
dow_1,0.00012163282580327475
dow_4,0.00011099295689946004
month_4,0.00010343909428459917
dow_2,9.092930549611136e-05
month_3,2.771195190455629e-05
month_2,0.0
month_5,0.0
month_6,0.0
month_7,0.0
month_8,0.0
month_9,0.0
dow_0,0.0
month_11,0.0
month_12,0.0
