Asset,Model,kappa,theta,sigma_v,rho,v0,H,loss,Feller
SPY,heston,0.6081036211268203,0.10561562301835305,0.8095007631303189,-0.2874406500861617,0.013488408620439934,,0.22537182366922842,No
SPY,rough_heston,0.4854351094821725,0.0035842687705563703,0.5298288318662875,-0.19746440589543857,0.04512569626734727,0.12991652281185653,0.36131623777797023,No
