Asset,t_df,t_loc,t_scale,t_AIC,t_KS_stat,t_KS_pvalue,norm_loc,norm_scale,norm_AIC,norm_KS_stat,norm_KS_pvalue,Best
IBM,2.984220119894445,0.0005969020065565622,0.00902234009304813,-31443.386840667234,0.006940536696543209,0.9568451366195613,0.00030592386970437237,0.014864557485436242,-29914.212617085293,0.086045560082076,5.471297168058436e-35,t
AAPL,3.2521464402781106,0.0012658322377482002,0.013388766146259877,-27538.12046921004,0.014117483514262563,0.2333547111372628,0.0010666202331969217,0.02029583924703366,-26574.37065038964,0.07498888252531169,1.1417731023605237e-26,t
JPM,2.246479554298851,0.0006016886415194623,0.010757894330982225,-28238.121630914393,0.008261943726846022,0.8545490232149188,0.00048264466104712905,0.022377439702310008,-25527.30724408314,0.11325321184392215,2.3031837544052567e-60,t
TLT,5.9719031654308825,0.00019925361749707974,0.007474576434955296,-35422.73596693798,0.014704954107451984,0.1946587689266963,0.00012547337346493047,0.009203991691749635,-35054.680703658625,0.03499219232789108,3.862252788881668e-06,t
GLD,3.55373629585453,0.0006612163945125408,0.007762052267013387,-33692.74743839365,0.00993675041826314,0.661077029307441,0.0004362871835090181,0.011360042778325473,-32797.65501429762,0.06687969796822085,2.6903467085930978e-21,t
SPY,2.4254539468661784,0.000905192341092901,0.006367191056621078,-34257.86042021787,0.019708282904177435,0.0306365618819342,0.0003956903178792798,0.011948800706142484,-32255.78485973953,0.10885088075416177,8.760193356204121e-56,t
