Model,VaR_95,VaR_99,ES_95,ES_99,Mean,Std,P(loss>5%),P(loss>10%),Weighting
Independent,0.009409404485799048,0.016769820313062175,0.014789773050340429,0.02618335365836852,0.0007077199863380105,0.007479227251600216,0.000472,8e-05,Equal
Gaussian,0.01280314960807285,0.024378148360810717,0.020931678251031125,0.03778036840778724,0.0007091136645458545,0.009962392225351934,0.001346,0.000218,Equal
Vine Copula,0.012431220064276905,0.02548977841114565,0.02207503086026719,0.04337088812898894,0.0007105976032024652,0.011540428126145991,0.001918,0.00035,Equal
Comonotonic,0.020823383653832107,0.04158540148342126,0.03546331394684312,0.06643372401076002,0.0006778444678856659,0.016272628678173952,0.006238,0.000916,Equal
Independent,0.01141940269501531,0.02099726427604393,0.01823854616561225,0.0322777000704037,0.0008277744360425791,0.008903892366571551,0.000808,0.00011,MarketCap
Gaussian,0.01503171229510029,0.028738838311142798,0.024677236172957563,0.04472000391225053,0.0008183381244051067,0.01154933360040031,0.002152,0.000312,MarketCap
Vine Copula,0.014654335152884298,0.029658623556166348,0.025645326831416078,0.049588136991859176,0.0008314266618956645,0.01322963451414176,0.00261,0.000464,MarketCap
Comonotonic,0.0218008111153054,0.04367961048899786,0.037225070489218394,0.06985724525950829,0.0007936261641034884,0.017110603521360197,0.007108,0.00105,MarketCap
